Identificador URL;Nome;Categorias;Nome da variação 1;Valor da variação 1;Nome da variação 2;Valor da variação 2;Nome da variação 3;Valor da variação 3;Preço;Preço promocional;Peso (kg);Altura (cm);Largura (cm);Comprimento (cm);Estoque;SKU;Código de barras;Exibir na loja;Frete gratis;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;Produto Físico;MPN (Cód. Exclusivo Modelo Fabricante);Sexo;Faixa etária;Custo
mep-10-nivelamento;"MEP 10 — Massa MEP Nivelamento";"MEP Massas";;;;;;;;210.00;;24;;;50;MEP10-B24;;SIM;NÃO;"<p>Argamassa polimérica pronta para uso para a primeira fiada (fiada de respaldo). Composição polimerizável: sustenta o peso do bloco sem escorrer após o posicionamento. Blindagem hidrófoba com Silano-Siloxano integrado. Atende às normas da ABNT 16590.</p><ul><li>Zero betoneira — pronto para uso</li><li>Composição polimerizável: gel que não deforma após posicionamento</li><li>Silano-Siloxano: impermeabilização capilar integrada</li><li>3× mais rápido que o traço convencional</li><li>Embalagem: balde com 4 bisnagas de 6 kg = 24 kg total</li></ul>";"mep massas, primeira fiada, argamassa polimerica, mep 10, nivelamento";"MEP 10 — Massa para Primeira Fiada | MEP Indústria";"Argamassa polimérica para primeira fiada. Composição polimerizável, Silano-Siloxano integrado. Atende ABNT 16590.";"MEP Indústria";SIM;;;90.00
mep-20-assentamento;"MEP 20 — Massa MEP Assentamento";"MEP Massas";;;;;;;;216.00;;24;;;100;MEP20-B24;;SIM;NÃO;"<p>Argamassa polimérica pronta para uso para assentamento de blocos e tijolos. 4× mais rápida que a argamassa convencional, sem betoneira. Junta de 3 a 5 mm. Atende às normas da ABNT 16590.</p><ul><li>Zero betoneira — pronta para uso</li><li>Junta de 3 a 5 mm (vs 10–15 mm convencional)</li><li>1,6 kg por m² de alvenaria</li><li>Compatível com bloco cerâmico e bloco de concreto</li></ul>";"mep massas, argamassa polimerica, assentamento, bloco, tijolo, mep 20";"MEP 20 — Massa para Assentamento | MEP Indústria";"Argamassa polimérica para assentamento de blocos. 4× mais rápida, sem betoneira. Atende ABNT 16590.";"MEP Indústria";SIM;;;
mep-30-emboco;"MEP 30 — Massa MEP Emboço";"MEP Massas";;;;;;;;130.00;;30;;;80;MEP30-B30;;SIM;NÃO;"<p>Argamassa polimérica para emboço de paredes internas e externas. Aplicação com desempenadeira a 3 mm. Alta aderência, baixa retração. Atende às normas da ABNT 16590.</p><ul><li>Espessura de projeto: 3 mm</li><li>Consumo: 4,5 kg/m² a 3 mm</li><li>Aplicação com desempenadeira</li><li>Alta aderência a blocos cerâmicos e de concreto</li></ul>";"mep massas, emboco, reboco, argamassa polimerica, mep 30";"MEP 30 — Massa para Emboço | MEP Indústria";"Argamassa polimérica para emboço. 4,5 kg/m² a 3 mm. Atende ABNT 16590.";"MEP Indústria";SIM;;;72.00
saco-mep-3kg;"Saco MEP — Argamassa Polimérica 3 kg";"MEP Massas";;;;;;;;36.00;;3;;;200;MEP-SACO-3KG;;SIM;NÃO;"<p>Argamassa polimérica em embalagem prática de 3 kg. Ideal para reparos e pequenas obras. Mesma formulação dos baldes profissionais. Atende às normas da ABNT 16590.</p><ul><li>Embalagem prática para transporte e armazenamento</li><li>Mesma formulação do balde profissional</li><li>Pronto para uso, sem adição de água</li></ul>";"mep massas, argamassa polimerica, saco 3kg, reparo";"Saco MEP 3 kg — Argamassa Polimérica | MEP Indústria";"Argamassa polimérica MEP em embalagem de 3 kg para reparos. Pronto para uso. Atende ABNT 16590.";"MEP Indústria";SIM;;;
textura-projetada-mep;"Textura Projetada MEP — 20 kg";"MEP Massas";;;;;;;;165.00;;20;;;30;MEP-TEXTURA-20KG;;SIM;NÃO;"<p>Revestimento texturizado acrílico base água para fachadas, muros e paredes. Disponível em granulometria fina, média e grossa. Alta resistência a intempéries e UV. Sistema tintométrico disponível para cores personalizadas.</p><ul><li>Granulometria fina: 1,5 a 2,5 kg/m²</li><li>Granulometria média: 2,5 a 3,5 kg/m²</li><li>Granulometria grossa: 3,5 a 5,0 kg/m²</li><li>Alta resistência a UV e intempéries</li></ul>";"textura projetada, revestimento texturizado, fachada, muro, mep massas";"Textura Projetada MEP 20 kg — Revestimento para Fachada";"Textura projetada acrílica MEP para fachadas e muros. Granulometria fina, média e grossa. Sistema tintométrico.";"MEP Indústria";SIM;;;
tinta-premium-mep-color;"Tinta Acrílica Premium MEP COLOR";"MEP COLOR";Volume;"3,6L";;;;;;125.00;;4;;;50;MEP-PREMIUM-3L6;;SIM;NÃO;"<p>Tinta acrílica premium para interiores e exteriores. Alta cobertura, lavável, resistente a UV. Acabamento fosco. Sistema tintométrico disponível para cores personalizadas.</p><ul><li>Interior e exterior</li><li>Rendimento: até 8,3 m²/L por demão</li><li>Lavável — resistente à limpeza</li><li>Alta resistência a UV e intempéries</li><li>Sistema tintométrico disponível</li></ul>";"tinta premium, tinta acrilica, mep color, tinta exterior, tinta interior";"Tinta Acrílica Premium MEP COLOR — Interior e Exterior";"Tinta acrílica premium MEP COLOR para interiores e exteriores. Alta cobertura, lavável, resistente a UV.";"MEP COLOR";SIM;;;
tinta-premium-mep-color;;;Volume;18L;;;;;;528.00;;20;;;20;MEP-PREMIUM-18L;;SIM;NÃO;;;;;;;;;
tinta-economica-mep-color;"Tinta Acrílica Econômica MEP COLOR";"MEP COLOR";Volume;"3,6L";;;;;;43.00;;4;;;50;MEP-ECON-3L6;;SIM;NÃO;"<p>Tinta acrílica econômica para grandes superfícies internas e alvenaria. Boa cobertura, fácil aplicação e custo-benefício ideal para obras e reformas. Acabamento fosco.</p><ul><li>Indicada para interiores e alvenaria</li><li>Rendimento: até 4,7 m²/L por demão</li><li>Fácil aplicação com rolo ou broxa</li><li>Custo-benefício para grandes metragens</li></ul>";"tinta economica, tinta acrilica, mep color, tinta obra, tinta reforma";"Tinta Acrílica Econômica MEP COLOR — Para Obras e Reformas";"Tinta acrílica econômica MEP COLOR para grandes superfícies. Ideal para obras e reformas.";"MEP COLOR";SIM;;;
tinta-economica-mep-color;;;Volume;18L;;;;;;178.00;;20;;;20;MEP-ECON-18L;;SIM;NÃO;;;;;;;;;
tinta-pisos-quadras-mep-color;"Tinta Pisos e Quadras MEP COLOR";"MEP COLOR";Volume;"3,6L";;;;;;65.00;;4;;;30;MEP-PISOS-3L6;;SIM;NÃO;"<p>Tinta acrílica de alta resistência para pisos, calçadas e quadras esportivas. Formulada para suportar tráfego intenso. Antiderrapante e fácil de limpar.</p><ul><li>Calçadas, quadras esportivas, pisos e cimentados</li><li>Rendimento: até 5,6 m²/L por demão</li><li>Alta resistência à abrasão e tráfego</li><li>Antiderrapante</li></ul>";"tinta piso, tinta quadra, tinta calcada, mep color, piso cimentado";"Tinta Pisos e Quadras MEP COLOR — Alta Resistência";"Tinta acrílica MEP COLOR para pisos, calçadas e quadras. Alta resistência à abrasão. Antiderrapante.";"MEP COLOR";SIM;;;
tinta-pisos-quadras-mep-color;;;Volume;18L;;;;;;268.00;;20;;;10;MEP-PISOS-18L;;SIM;NÃO;;;;;;;;;
esmalte-base-agua-mep-color;"Esmalte Acrílico Base Água MEP COLOR";"MEP COLOR";Volume;"0,9L";;;;;;56.00;;1;;;50;MEP-ESMALTE-0L9;;SIM;NÃO;"<p>Esmalte acrílico base água para madeiras, metais, portas e esquadrias. Sem cheiro forte, secagem rápida, limpeza dos pincéis com água. Disponível em 0,9L e 3,6L.</p><ul><li>Madeiras, metais, portas, janelas e esquadrias</li><li>Rendimento: até 8,3 m²/L por demão</li><li>Base água: sem cheiro, secagem rápida</li><li>Interior e exterior</li></ul>";"esmalte base agua, esmalte acrilico, mep color, madeira, metal, porta, janela";"Esmalte Acrílico Base Água MEP COLOR — Madeira e Metal";"Esmalte acrílico base água MEP COLOR para madeiras, metais e esquadrias. Sem cheiro, secagem rápida.";"MEP COLOR";SIM;;;
esmalte-base-agua-mep-color;;;Volume;"3,6L";;;;;;156.00;;4;;;30;MEP-ESMALTE-3L6;;SIM;NÃO;;;;;;;;;
fundo-preparador-mep-color;"Fundo Preparador MEP COLOR";"MEP COLOR";Volume;"3,6L";;;;;;89.00;;4;;;30;MEP-FUNDO-3L6;;SIM;NÃO;"<p>Primer acrílico base água para preparar paredes antes da pintura. Melhora a aderência da tinta, uniformiza a absorção e reduz o consumo de tinta de acabamento. Indicado para alvenaria, reboco, concreto, gesso e fibrocimento.</p><ul><li>Alvenaria, reboco, concreto, gesso e fibrocimento</li><li>Rendimento: 8 a 15 m²/L por demão</li><li>Uma demão geralmente suficiente</li><li>Não substitui impermeabilizante</li></ul>";"fundo preparador, primer, selador, mep color, preparacao parede";"Fundo Preparador MEP COLOR — Primer para Paredes";"Primer acrílico MEP COLOR para paredes. Melhora aderência da tinta. Para alvenaria, reboco, concreto e gesso.";"MEP COLOR";SIM;;;
fundo-preparador-mep-color;;;Volume;18L;;;;;;223.00;;20;;;10;MEP-FUNDO-18L;;SIM;NÃO;;;;;;;;;
